Positive Score,Negative Score,Polarity Score,Subjectivity Score,Average Sentence Length,Percentage of Complex Words,Fog Index,Average Number of Words Per Sentence,Complex Word Count,Word Count,Syllable Per Word,Personal Pronouns,Average Word Length
33,5,0.7368420858725767,0.0723809522430839,9.210526315789474,0.4685714285714286,3.871639097744361,9.210526315789474,246,525,2.546666666666667,0,6.601904761904762
57,27,0.35714285289115655,0.10923276968890407,12.403225806451612,0.5929778933680104,5.19848147992785,12.403225806451612,456,769,2.8855656697009104,2,7.382314694408323
38,24,0.22580644797086374,0.10316139749889951,13.065217391304348,0.64891846921797,5.485654344208927,13.065217391304348,390,601,3.1630615640599,0,8.24126455906822
35,72,-0.34579438929164125,0.1825938563436965,15.837837837837839,0.6177474402730375,6.582234111244351,15.837837837837839,362,586,2.984641638225256,0,7.959044368600683
20,8,0.4285714132653067,0.08139534860059491,13.23076923076923,0.502906976744186,5.493470483005367,13.23076923076923,173,344,2.738372093023256,0,7.357558139534884
82,25,0.5327102753952311,0.10573122519196519,19.46153846153846,0.6185770750988142,8.03204621465491,19.46153846153846,626,1012,3.0385375494071147,0,7.959486166007905
30,62,-0.34782608317580344,0.1424148604606581,12.666666666666666,0.5232198142414861,5.275954592363261,12.666666666666666,338,646,2.678018575851393,0,7.134674922600619
29,9,0.5263157756232691,0.08296943213325451,12.722222222222221,0.648471615720524,5.348277535177099,12.722222222222221,297,458,3.222707423580786,0,8.16593886462882
35,47,-0.14634146162998218,0.14669051852112608,14.333333333333334,0.6529516994633273,5.994514013118665,14.333333333333334,365,559,3.098389982110912,0,8.166368515205724
132,170,-0.12582781415288805,0.1834750910185449,11.121621621621621,0.5820170109356014,4.681455453022889,11.121621621621621,958,1646,2.9113001215066827,0,7.857837181044958
60,18,0.5384615315581855,0.10051546378799554,16.166666666666668,0.6391752577319587,6.722336769759451,16.166666666666668,496,776,3.0347938144329896,0,7.858247422680412
72,22,0.5319148879583523,0.11477411463397544,14.625,0.6446886446886447,6.107875457875458,14.625,528,819,3.1294261294261294,0,7.78021978021978
38,13,0.49019606881968497,0.184115522801027,14.578947368421053,0.6823104693140795,6.1045031350940535,14.578947368421053,189,277,3.1985559566787005,0,8.061371841155236
0,0,0.0,0.0,1.0,1.0,0.8,1.0,1,1,3.0,0,8.0
34,27,0.11475409647944104,0.09822866328787655,13.8,0.573268921095008,5.749307568438004,13.8,356,621,2.819645732689211,0,7.388083735909823
34,27,0.11475409647944104,0.09822866328787655,13.8,0.573268921095008,5.749307568438004,13.8,356,621,2.819645732689211,0,7.388083735909823
47,12,0.593220328928469,0.10137457027255228,13.857142857142858,0.5429553264604811,5.760039273441336,13.857142857142858,316,582,2.7783505154639174,0,7.374570446735395
32,10,0.5238095113378688,0.08045976996080503,15.818181818181818,0.6168582375478927,6.574016022291885,15.818181818181818,322,522,2.9636015325670497,0,7.563218390804598
59,6,0.815384602840237,0.080049260985161,11.277777777777779,0.5899014778325123,4.747071702244116,11.277777777777779,479,812,2.8682266009852215,0,7.568965517241379
0,0,0.0,0.0,1.0,1.0,0.8,1.0,1,1,3.0,0,8.0
21,46,-0.37313432278903996,0.1288461535983728,12.682926829268293,0.6096153846153847,5.317016885553471,12.682926829268293,317,520,2.871153846153846,0,7.4884615384615385
13,8,0.23809522675737013,0.11864406712630471,7.695652173913044,0.5028248587570622,3.2793908130680425,7.695652173913044,89,177,2.7062146892655368,0,7.15819209039548
27,15,0.2857142789115648,0.06412213730668376,12.358490566037736,0.5282442748091603,5.1546939363387585,12.358490566037736,346,655,2.7541984732824427,1,6.986259541984733
